Metric,Value
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,347.7
design__instance__count__class:fill_cell,542
design__instance__area__class:fill_cell,9327.4
timing__unannotated_net__count__corner:nom_tt_025C_5v00,14
timing__unannotated_net_filtered__count__corner:nom_tt_025C_5v00,0
timing__unannotated_net__count__corner:nom_ss_125C_4v50,14
timing__unannotated_net_filtered__count__corner:nom_ss_125C_4v50,0
timing__unannotated_net__count__corner:nom_ff_n40C_5v50,14
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count__corner:min_tt_025C_5v00,0
design__max_fanout_violation__count__corner:min_tt_025C_5v00,1
design__max_cap_violation__count__corner:min_tt_025C_5v00,1
clock__skew__worst_hold__corner:min_tt_025C_5v00,-0.26853295347421546
clock__skew__worst_setup__corner:min_tt_025C_5v00,0.26852379413400324
timing__hold__ws__corner:min_tt_025C_5v00,0.37921067359564276
timing__setup__ws__corner:min_tt_025C_5v00,19992.59131634596
timing__hold__tns__corner:min_tt_025C_5v00,0.0
timing__setup__tns__corner:min_tt_025C_5v00,0.0
timing__hold__wns__corner:min_tt_025C_5v00,0
timing__setup__wns__corner:min_tt_025C_5v00,0.0
timing__hold_vio__count__corner:min_tt_025C_5v00,0
timing__hold_r2r__ws__corner:min_tt_025C_5v00,0.379211
timing__hold_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__setup_vio__count__corner:min_tt_025C_5v00,0
timing__setup_r2r__ws__corner:min_tt_025C_5v00,33325.636719
timing__setup_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__unannotated_net__count__corner:min_tt_025C_5v00,14
timing__unannotated_net_filtered__count__corner:min_tt_025C_5v00,0
design__max_slew_violation__count__corner:min_ss_125C_4v50,0
design__max_fanout_violation__count__corner:min_ss_125C_4v50,1
design__max_cap_violation__count__corner:min_ss_125C_4v50,1
clock__skew__worst_hold__corner:min_ss_125C_4v50,-0.28258282624820436
clock__skew__worst_setup__corner:min_ss_125C_4v50,0.28257361139683934
timing__hold__ws__corner:min_ss_125C_4v50,0.9492957799644485
timing__setup__ws__corner:min_ss_125C_4v50,19985.364471241282
timing__hold__tns__corner:min_ss_125C_4v50,0.0
timing__setup__tns__corner:min_ss_125C_4v50,0.0
timing__hold__wns__corner:min_ss_125C_4v50,0
timing__setup__wns__corner:min_ss_125C_4v50,0.0
timing__hold_vio__count__corner:min_ss_125C_4v50,0
timing__hold_r2r__ws__corner:min_ss_125C_4v50,0.949296
timing__hold_r2r_vio__count__corner:min_ss_125C_4v50,0
timing__setup_vio__count__corner:min_ss_125C_4v50,0
timing__setup_r2r__ws__corner:min_ss_125C_4v50,33319.324219
timing__setup_r2r_vio__count__corner:min_ss_125C_4v50,0
timing__unannotated_net__count__corner:min_ss_125C_4v50,14
timing__unannotated_net_filtered__count__corner:min_ss_125C_4v50,0
design__max_slew_violation__count__corner:min_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:min_ff_n40C_5v50,1
design__max_cap_violation__count__corner:min_ff_n40C_5v50,1
clock__skew__worst_hold__corner:min_ff_n40C_5v50,-0.2622301616740121
clock__skew__worst_setup__corner:min_ff_n40C_5v50,0.2622210023337999
timing__hold__ws__corner:min_ff_n40C_5v50,0.13519635793546916
timing__setup__ws__corner:min_ff_n40C_5v50,19995.79273778674
timing__hold__tns__corner:min_ff_n40C_5v50,0.0
timing__setup__tns__corner:min_ff_n40C_5v50,0.0
timing__hold__wns__corner:min_ff_n40C_5v50,0
timing__setup__wns__corner:min_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:min_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:min_ff_n40C_5v50,0.135196
timing__hold_r2r_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:min_ff_n40C_5v50,33328.410156
timing__setup_r2r_vio__count__corner:min_ff_n40C_5v50,0
timing__unannotated_net__count__corner:min_ff_n40C_5v50,14
timing__unannotated_net_filtered__count__corner:min_ff_n40C_5v50,0
design__max_slew_violation__count__corner:max_tt_025C_5v00,0
design__max_fanout_violation__count__corner:max_tt_025C_5v00,1
design__max_cap_violation__count__corner:max_tt_025C_5v00,1
clock__skew__worst_hold__corner:max_tt_025C_5v00,-0.2729231085046528
clock__skew__worst_setup__corner:max_tt_025C_5v00,0.27290961929452207
timing__hold__ws__corner:max_tt_025C_5v00,0.38655502115585544
timing__setup__ws__corner:max_tt_025C_5v00,19992.418512347733
timing__hold__tns__corner:max_tt_025C_5v00,0.0
timing__setup__tns__corner:max_tt_025C_5v00,0.0
timing__hold__wns__corner:max_tt_025C_5v00,0
timing__setup__wns__corner:max_tt_025C_5v00,0.0
timing__hold_vio__count__corner:max_tt_025C_5v00,0
timing__hold_r2r__ws__corner:max_tt_025C_5v00,0.386555
timing__hold_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__setup_vio__count__corner:max_tt_025C_5v00,0
timing__setup_r2r__ws__corner:max_tt_025C_5v00,33325.453125
timing__setup_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__unannotated_net__count__corner:max_tt_025C_5v00,14
timing__unannotated_net_filtered__count__corner:max_tt_025C_5v00,0
design__max_slew_violation__count__corner:max_ss_125C_4v50,0
design__max_fanout_violation__count__corner:max_ss_125C_4v50,1
design__max_cap_violation__count__corner:max_ss_125C_4v50,1
clock__skew__worst_hold__corner:max_ss_125C_4v50,-0.29025613289991703
clock__skew__worst_setup__corner:max_ss_125C_4v50,0.29024247715632795
timing__hold__ws__corner:max_ss_125C_4v50,0.9618063284712595
timing__setup__ws__corner:max_ss_125C_4v50,19985.058881012843
timing__hold__tns__corner:max_ss_125C_4v50,0.0
timing__setup__tns__corner:max_ss_125C_4v50,0.0
timing__hold__wns__corner:max_ss_125C_4v50,0
timing__setup__wns__corner:max_ss_125C_4v50,0.0
timing__hold_vio__count__corner:max_ss_125C_4v50,0
timing__hold_r2r__ws__corner:max_ss_125C_4v50,0.961806
timing__hold_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__setup_vio__count__corner:max_ss_125C_4v50,0
timing__setup_r2r__ws__corner:max_ss_125C_4v50,33318.992188
timing__setup_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__unannotated_net__count__corner:max_ss_125C_4v50,14
timing__unannotated_net_filtered__count__corner:max_ss_125C_4v50,0
design__max_slew_violation__count__corner:max_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:max_ff_n40C_5v50,1
design__max_cap_violation__count__corner:max_ff_n40C_5v50,1
clock__skew__worst_hold__corner:max_ff_n40C_5v50,-0.26513822443580964
clock__skew__worst_setup__corner:max_ff_n40C_5v50,0.2651247629812553
timing__hold__ws__corner:max_ff_n40C_5v50,0.1400188338239224
timing__setup__ws__corner:max_ff_n40C_5v50,19995.681779429986
timing__hold__tns__corner:max_ff_n40C_5v50,0.0
timing__setup__tns__corner:max_ff_n40C_5v50,0.0
timing__hold__wns__corner:max_ff_n40C_5v50,0
timing__setup__wns__corner:max_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:max_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:max_ff_n40C_5v50,0.140019
timing__hold_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:max_ff_n40C_5v50,33328.289062
timing__setup_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count__corner:max_ff_n40C_5v50,14
timing__unannotated_net_filtered__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count,14
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_tt_025C_5v00,5
design_powergrid__drop__average__net:VDD__corner:nom_tt_025C_5v00,5
design_powergrid__drop__worst__net:VDD__corner:nom_tt_025C_5v00,7.9945E-7
